trade_date,close_x,pct_chg_x,vol_x,close_y,pct_chg_y,vol_y
20190625,2982.0738,-0.8668,243699244.0,3801.3098,-1.0402,124075912.0
20190626,2976.2837,-0.1942,174449533.0,3794.331,-0.1836,81820283.0
20190627,2996.7926,0.6891,195397049.0,3834.8172,1.067,105316358.0
20190628,2978.8784,-0.5978,181431523.0,3825.5873,-0.2407,84766139.0
20190701,3044.9028,2.2164,250840433.0,3935.8116,2.8812,158370340.0
20190702,3043.9428,-0.0315,214520624.0,3937.1691,0.0345,131863496.0
20190703,3015.2633,-0.9422,212296173.0,3893.5341,-1.1083,111992603.0
20190704,3005.2488,-0.3321,194415133.0,3873.1019,-0.5248,99342256.0
20190705,3011.0588,0.1933,156755429.0,3893.2025,0.519,74006527.0
20190708,2933.3634,-2.5803,211541268.0,3802.7897,-2.3223,109539086.0
20190709,2928.2295,-0.175,145110604.0,3793.1297,-0.254,74842732.0
20190710,2915.3022,-0.4415,135483538.0,3786.739,-0.1685,72833948.0
20190711,2917.7609,0.0843,143692522.0,3785.221,-0.0401,75311965.0
20190712,2930.5462,0.4382,137794759.0,3808.7311,0.6211,75465967.0
20190715,2942.1853,0.3972,167643397.0,3824.1878,0.4058,101205222.0
20190716,2937.6168,-0.1553,131811751.0,3806.8449,-0.4535,80730952.0
20190717,2931.6926,-0.2017,149631616.0,3804.6384,-0.058,95183885.0
20190718,2901.1766,-1.0409,149888828.0,3768.4019,-0.9524,87496445.0
20190719,2924.2006,0.7936,149469553.0,3807.9551,1.0496,88086149.0
20190722,2886.974,-1.2731,180674960.0,3781.6832,-0.6899,92101377.0
20190723,2899.9446,0.4493,129310508.0,3789.9135,0.2176,71313346.0
20190724,2923.2775,0.8046,155245762.0,3819.8325,0.7894,90940684.0
20190725,2937.3601,0.4817,145684385.0,3851.0665,0.8177,93740417.0
20190726,2944.541,0.2445,139343388.0,3858.5688,0.1948,83259300.0
20190729,2941.007,-0.12,127991846.0,3854.2704,-0.1114,84814370.0
20190730,2952.3383,0.3853,148316462.0,3870.3176,0.4163,94123955.0
20190731,2932.5058,-0.6718,141052348.0,3835.3589,-0.9033,82151155.0
20190801,2908.766,-0.8095,142389813.0,3803.4694,-0.8315,84114180.0
20190802,2867.8376,-1.4071,184888443.0,3747.4379,-1.4732,108335897.0
20190805,2821.4957,-1.6159,167419423.0,3675.6884,-1.9146,101325981.0
20190806,2777.5559,-1.5573,231123727.0,3636.3289,-1.0708,129833871.0
